N,IterLin,RecLin,IterBin,RecBin
2000000,476,7976,164,134
4000000,472,8017,162,132
6000000,470,7939,161,132
8000000,469,7852,160,131
10000000,468,7759,160,131
12000000,468,7702,160,131
14000000,467,7699,160,131
16000000,467,7695,159,131
18000000,467,7733,159,131
20000000,466,7743,159,131
22000000,466,7719,159,131
24000000,466,7746,159,131
26000000,467,7752,159,131
28000000,468,7758,160,131
30000000,468,7782,160,131
32000000,468,7807,160,132
34000000,469,7833,160,132
36000000,469,7823,160,132
38000000,469,7826,160,132
40000000,469,7803,160,132

